z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date
21,24,Sc,3.5459,0.0025,100,,,0,,,7/2-,STABLE,,,,,,,,,,,,,,,,4.754,0.00008,-0.22,0.002,-2062.0551,0.5086,-11595.0532,0.9646,-7937.6884,0.6634,-260.091,0.757,11327.6044,1.8737,6892.5626,0.7228,8618.941,0.0147,44955907.05,0.712,-41072.321,0.663,N,1923,30-Oct-07,T. W. BURROWS,10/18/23
22,24,Ti,3.607,0.0022,8.25,0.03,,0,,,0+,STABLE,,,,,,,,,,,,,,,,2.3,0.7,-0.21,0.06,-7052.3723,0.0923,-20313.1458,0.8591,-8005.8918,0.1736,-2366.626,0.677,13189.3211,0.832,10344.919,0.6585,8656.4623,0.002,45952626.36,0.097,-44128.269,0.09,N,1934,15-Jul-00,S. -C. WU,10/18/23
22,25,Ti,3.5962,0.0019,7.44,0.02,,0,,,5/2-,STABLE,,,,,,,,,,,,,,,2-Mar,-0.78814,0.00011,0.302,0.01,-2930.5422,0.0879,-15933.033,0.1191,-8953.6551,0.2408,-600.77,1.93,8880.6607,0.0635,10464.9397,0.6691,8661.2325,0.0017,46951757.49,0.085,-44937.612,0.08,N,1934,20-Feb-07,T. W. BURROWS,10/18/23
22,26,Ti,3.5921,0.0017,73.72,0.03,,0,,,0+,STABLE,,,,,,,,,,,,,,,,2.2,0.6,-0.177,0.008,-4014.9467,0.9691,-14557.2001,0.0838,-9449.1378,0.3327,-3988.869,4.951,11626.6579,0.0319,11445.0803,1.9294,8723.0122,0.0016,47947940.68,0.079,-48492.952,0.074,N,1923,30-Nov-21,JUN CHEN,10/18/23
22,27,Ti,3.5733,0.0021,5.41,0.02,,0,,,7/2-,STABLE,,,,,,,,,,,,,,,2-May,-1.1037,0.00014,0.247,0.011,-601.8555,0.8203,-12157.3253,0.9694,-10176.6978,0.3732,-2001.565,2.269,8142.3786,0.0235,11348.9001,4.9499,8711.1625,0.0016,48947864.39,0.084,-48564.012,0.078,N,1934,14-Jul-08,T. W. Burrows{+a},10/18/23
22,28,Ti,3.5704,0.0022,5.18,0.02,,0,,,0+,STABLE,,,,,,,,,,,,,,,,2.9,0.4,,,-2208.6274,0.0579,-11541.0287,0.8209,-10717.1735,2.2328,-6894.747,2.516,10939.1732,0.0311,12158.3913,2.2685,8755.7227,0.0017,49944785.62,0.088,-51431.867,0.082,N,1934,15-Apr-19,Jun Chen and Balraj Singh,10/18/23
23,28,V,3.6002,0.0022,99.75,0.01,,0,,,7/2-,STABLE,,,,,,,,,,,,,,,,5.1464,0.0007,-0.052,0.01,-752.3907,0.1494,-10013.0593,0.0711,-10291.1787,1.9303,-2470.14,0.49,11051.1834,0.0609,8060.209,0.0658,8742.0852,0.0019,50943957.66,0.104,-52203.105,0.097,N,1924,1-Mar-16,Wang Jimin and Huang Xiaolong,10/18/23
24,28,Cr,3.6452,0.0042,83.789,0.018,,0,,,0+,STABLE,,,,,,,,,,,,,,,,2.4,0.4,-0.08,0.02,-4708.1214,0.0633,-15247.6007,0.305,-9351.4721,0.0793,-3976.476,0.194,12040.1115,0.1697,10505.3737,0.099,8775.9946,0.0022,51940504.71,0.12,-55419.508,0.112,N,1923,10-Jul-15,YANG DONG and  HUO JUNDE,10/18/23
24,29,Cr,3.6511,0.0075,9.501,0.017,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,,-0.47431,0.00007,-0.15,0.05,-597.2679,0.343,-12647.5491,0.1155,-9148.5212,0.0871,-3435.943,3.105,7939.4277,0.0966,11133.5569,0.1624,8760.2103,0.0022,52940646.3,0.124,-55287.618,0.116,N,1930,31-Mar-07,HUO JUNDE,10/18/23
24,30,Cr,3.6885,0.0074,2.365,0.007,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.7,0.2,-0.21,0.08,-1377.1325,1.0051,-10316.3474,0.3498,-7928.4276,0.1104,-7037.112,11.181,9719.0796,0.1013,12372.6752,3.1,8777.9672,0.0025,53938877.36,0.142,-56935.379,0.132,N,1930,20-Jun-14,YANG DONG and  HUO JUNDE,10/18/23
